Symptom,Disease,occurrence,Weightage
Hyperphagia,Gastroesophageal Reflux,3,7.197955269
Bulimia,Gastroesophageal Reflux,10,27.63857103
Nausea,Gastroesophageal Reflux,19,21.63630841
Postoperative Nausea and Vomiting,Gastroesophageal Reflux,1,3.420099727
Vomiting,Gastroesophageal Reflux,180,151.8322798
Hematemesis,Gastroesophageal Reflux,5,10.42930864
Morning Sickness,Gastroesophageal Reflux,1,2.850185187
Anoxia,Gastroesophageal Reflux,6,6.01193143
Apnea,Gastroesophageal Reflux,84,157.6305283
Cough,Gastroesophageal Reflux,311,408.880766
Dyspnea,Gastroesophageal Reflux,20,20.10443363
"Dyspnea, Paroxysmal",Gastroesophageal Reflux,4,15.00893425
Hemoptysis,Gastroesophageal Reflux,2,3.394148727
Hypercapnia,Gastroesophageal Reflux,1,2.110983822
Hypoventilation,Gastroesophageal Reflux,1,2.521353305
Respiratory Aspiration,Gastroesophageal Reflux,24,79.92176581
Respiratory Sounds,Gastroesophageal Reflux,44,72.12785044
Snoring,Gastroesophageal Reflux,7,19.32073328
"Purpura, Thrombocytopenic",Gastroesophageal Reflux,1,1.414905521
"Urinary Bladder, Overactive",Gastroesophageal Reflux,1,3.543332367
Fever,Pulmonary Fibrosis,16,9.903002117
Fever of Unknown Origin,Pulmonary Fibrosis,3,4.41946475
Hypothermia,Pulmonary Fibrosis,1,1.945436215
Body Weight,Pulmonary Fibrosis,71,24.35213715
Weight Gain,Pulmonary Fibrosis,5,7.433448703
Weight Loss,Pulmonary Fibrosis,8,8.000429691
Obesity,Pulmonary Fibrosis,2,1.665107303
Cyanosis,Pulmonary Fibrosis,16,27.8945534
Edema,Pulmonary Fibrosis,4,2.383512376
Eye Manifestations,Pulmonary Fibrosis,1,1.507876974
Fatigue,Pulmonary Fibrosis,3,3.414039467
Hypergammaglobulinemia,Pulmonary Fibrosis,16,26.86600262
Neurologic Manifestations,Pulmonary Fibrosis,3,0.20982424
Cerebellar Ataxia,Pulmonary Fibrosis,1,1.708785623
Coma,Pulmonary Fibrosis,2,2.624169626
Mental Retardation,Pulmonary Fibrosis,2,1.810893368
Psychomotor Disorders,Pulmonary Fibrosis,1,1.331640992
Muscle Weakness,Pulmonary Fibrosis,1,0.992991082
Trismus,Pulmonary Fibrosis,1,2.597960426
Pain,Pulmonary Fibrosis,1,0.329386709
Headache,Pulmonary Fibrosis,3,2.653692764
"Pain, Intractable",Pulmonary Fibrosis,1,1.992983371
Paralysis,Pulmonary Fibrosis,1,0.484471377
Respiratory Paralysis,Pulmonary Fibrosis,1,2.489420258
Vocal Cord Paralysis,Pulmonary Fibrosis,2,3.975559087
Seizures,Pulmonary Fibrosis,2,1.690333851
Dizziness,Pulmonary Fibrosis,2,2.684942845
"Hearing Loss, Sensorineural",Pulmonary Fibrosis,1,1.21485586
Tinnitus,Pulmonary Fibrosis,2,3.948067245
Vision Disorders,Pulmonary Fibrosis,1,0.663489432
Blindness,Pulmonary Fibrosis,1,1.098138355
Photophobia,Pulmonary Fibrosis,1,2.854291969
Sleep Disorders,Pulmonary Fibrosis,1,1.49299891
Vertigo,Pulmonary Fibrosis,2,3.192503886
Arthralgia,Pulmonary Fibrosis,1,1.4773
Chest Pain,Pulmonary Fibrosis,1,1.09956083
Angina Pectoris,Pulmonary Fibrosis,3,4.358050118
Diarrhea,Pulmonary Fibrosis,4,3.692752524
"Diarrhea, Infantile",Pulmonary Fibrosis,1,2.281245322
Heartburn,Pulmonary Fibrosis,1,3.176869417
Hematemesis,Pulmonary Fibrosis,1,2.085861728
Anoxia,Pulmonary Fibrosis,71,71.14118859
Apnea,Pulmonary Fibrosis,2,3.753107817
Cough,Pulmonary Fibrosis,27,35.49768708
Dyspnea,Pulmonary Fibrosis,155,155.8093606
Hemoptysis,Pulmonary Fibrosis,15,25.45611545
Hypercapnia,Pulmonary Fibrosis,5,10.55491911
Hyperoxia,Pulmonary Fibrosis,10,29.49190711
Hyperventilation,Pulmonary Fibrosis,5,10.52565073
Mouth Breathing,Pulmonary Fibrosis,1,3.2293596
Respiratory Aspiration,Pulmonary Fibrosis,1,3.330073575
Respiratory Sounds,Pulmonary Fibrosis,24,39.34246388
Snoring,Pulmonary Fibrosis,1,2.760104754
Skin Manifestations,Pulmonary Fibrosis,1,0.612357218
Jaundice,Pulmonary Fibrosis,2,2.909423542
Purpura,Pulmonary Fibrosis,1,1.063218606
"Purpura, Hyperglobulinemic",Pulmonary Fibrosis,2,7.349049155
"Purpura, Thrombocytopenic",Pulmonary Fibrosis,1,1.414905521
"Purpura, Thrombocytopenic, Idiopathic",Pulmonary Fibrosis,2,3.86778891
Polyuria,Pulmonary Fibrosis,1,2.360901407
Proteinuria,Pulmonary Fibrosis,2,2.497955547
Asthenia,Hepatitis,5,10.31609626
Fever,Hepatitis,65,40.2309461
Fever of Unknown Origin,Hepatitis,27,39.77518275
Body Weight,Hepatitis,23,7.888720484
Birth Weight,Hepatitis,9,12.66417849
Weight Gain,Hepatitis,2,2.973379481
Weight Loss,Hepatitis,14,14.00075196
Cachexia,Hepatitis,1,1.994724016
Overweight,Hepatitis,2,1.647744199
Obesity,Hepatitis,98,81.59025786
"Obesity, Morbid",Hepatitis,16,28.04703924
"Cardiac Output, Low",Hepatitis,7,14.99956955
Cyanosis,Hepatitis,6,10.46045753
Edema,Hepatitis,14,8.342293317
Hydrops Fetalis,Hepatitis,2,4.682000505
Eye Manifestations,Hepatitis,6,9.047261843
Fatigue,Hepatitis,7,7.966092089
Fetal Distress,Hepatitis,1,2.588451638
Hypergammaglobulinemia,Hepatitis,31,52.05288007
Neurologic Manifestations,Hepatitis,27,1.888418156
Ataxia,Hepatitis,3,3.658979138
Cerebellar Ataxia,Hepatitis,1,1.708785623
Athetosis,Hepatitis,1,2.582162309
Tremor,Hepatitis,2,3.478705574
Speech Disorders,Hepatitis,1,1.152916561
Learning Disorders,Hepatitis,3,5.205937132
Confusion,Hepatitis,2,3.017896423
Delirium,Hepatitis,1,2.08395515
Unconsciousness,Hepatitis,3,2.783918488
Coma,Hepatitis,19,24.92961144
Syncope,Hepatitis,2,2.981782855
Memory Disorders,Hepatitis,1,1.467997608
Mental Retardation,Hepatitis,17,15.39259363
Agnosia,Hepatitis,1,2.536212419
Hallucinations,Hepatitis,1,1.723288184
Psychomotor Disorders,Hepatitis,2,2.663281983
Muscle Weakness,Hepatitis,3,2.978973245
Myotonia,Hepatitis,2,6.108097175
Pain,Hepatitis,25,8.234667716
Back Pain,Hepatitis,1,1.146928519
Low Back Pain,Hepatitis,1,1.590421023
Headache,Hepatitis,5,4.422821274
Neck Pain,Hepatitis,1,1.958792007
Neuralgia,Hepatitis,1,1.538314106
Paralysis,Hepatitis,4,1.93788551
Facial Paralysis,Hepatitis,3,4.071290735
Hemiplegia,Hepatitis,1,1.294632363
Quadriplegia,Hepatitis,1,1.369139669
Paresis,Hepatitis,1,1.287735784
Psychophysiologic Disorders,Hepatitis,4,5.930022537
"Reflex, Abnormal",Hepatitis,2,2.814261886
Seizures,Hepatitis,14,11.83233696
Sensation Disorders,Hepatitis,1,0.343321904
Hearing Disorders,Hepatitis,2,1.47003315
Hearing Loss,Hepatitis,1,0.803550545
Deafness,Hepatitis,2,2.457054326
Olfaction Disorders,Hepatitis,1,2.288230217
Hypesthesia,Hepatitis,1,1.721961044
Paresthesia,Hepatitis,2,2.716036292
Vision Disorders,Hepatitis,1,0.663489432
Blindness,Hepatitis,2,2.19627671
Diplopia,Hepatitis,1,1.644165299
Sleep Disorders,Hepatitis,2,2.98599782
Sleep Deprivation,Hepatitis,2,5.151824578
Hoarseness,Hepatitis,1,2.216126923
Oral Manifestations,Hepatitis,4,7.463105131
Abdominal Pain,Hepatitis,29,24.60602667
"Abdomen, Acute",Hepatitis,12,17.25120157
Colic,Hepatitis,1,2.134747316
Arthralgia,Hepatitis,3,4.431900001
Shoulder Pain,Hepatitis,1,2.420427386
Chest Pain,Hepatitis,2,2.199121661
Angina Pectoris,Hepatitis,3,4.358050118
Pelvic Pain,Hepatitis,1,2.041078125
Anorexia,Hepatitis,2,3.650521228
Diarrhea,Hepatitis,12,11.07825757
"Diarrhea, Infantile",Hepatitis,2,4.562490644
Dyspepsia,Hepatitis,12,24.98462639
Nausea,Hepatitis,5,5.693765371
Vomiting,Hepatitis,8,6.748101323
Hematemesis,Hepatitis,3,6.257585183
Hyperemesis Gravidarum,Hepatitis,4,11.50033095
Anoxia,Hepatitis,31,31.06164572
Cough,Hepatitis,3,3.944187453
Dyspnea,Hepatitis,2,2.010443363
Hyperventilation,Hepatitis,2,4.210260293
Respiratory Sounds,Hepatitis,1,1.639269328
Skin Manifestations,Hepatitis,13,7.960643835
Ecchymosis,Hepatitis,1,2.299981233
Jaundice,Hepatitis,428,622.616638
"Jaundice, Obstructive",Hepatitis,52,129.8974889
Pruritus,Hepatitis,20,29.31884217
Purpura,Hepatitis,14,14.88506048
"Purpura, Hyperglobulinemic",Hepatitis,3,11.02357373
"Purpura, Schoenlein-Henoch",Hepatitis,5,9.991072104
"Purpura, Thrombocytopenic",Hepatitis,16,22.63848833
"Purpura, Thrombocytopenic, Idiopathic",Hepatitis,10,19.33894455
"Purpura, Thrombotic Thrombocytopenic",Hepatitis,2,4.368077216
Oliguria,Hepatitis,1,2.614012135
Proteinuria,Hepatitis,10,12.48977774
Albuminuria,Hepatitis,1,2.065086665
Hemoglobinuria,Hepatitis,3,8.650564821
Virilism,Hepatitis,1,2.227055993
Hirsutism,Hepatitis,1,2.483722237
Fever,Diabetes Mellitus,5,3.094688161
Hypothermia,Diabetes Mellitus,3,5.836308646
Body Weight,Diabetes Mellitus,1100,377.2866319
Birth Weight,Diabetes Mellitus,76,106.9419517
Fetal Macrosomia,Diabetes Mellitus,15,50.05077177
Weight Gain,Diabetes Mellitus,97,144.2089048
Weight Loss,Diabetes Mellitus,217,217.0116554
Emaciation,Diabetes Mellitus,1,1.832640721
Cachexia,Diabetes Mellitus,7,13.96306811
Overweight,Diabetes Mellitus,26,21.42067459
Obesity,Diabetes Mellitus,3255,2709.962136
"Obesity, Morbid",Diabetes Mellitus,40,70.11759809
Thinness,Diabetes Mellitus,32,85.45918752
"Cardiac Output, Low",Diabetes Mellitus,4,8.571182598
Edema,Diabetes Mellitus,30,17.87634282
Eye Manifestations,Diabetes Mellitus,17,25.63390856
Fatigue,Diabetes Mellitus,11,12.51814471
Feminization,Diabetes Mellitus,1,3.762385933
Fetal Distress,Diabetes Mellitus,2,5.176903276
Flushing,Diabetes Mellitus,1,2.614012135
Hypergammaglobulinemia,Diabetes Mellitus,1,1.679125164
Intermittent Claudication,Diabetes Mellitus,14,31.05624483
Mobility Limitation,Diabetes Mellitus,8,22.11085683
Neurologic Manifestations,Diabetes Mellitus,16,1.119062611
Dyskinesias,Diabetes Mellitus,4,2.991808315
Ataxia,Diabetes Mellitus,3,3.658979138
Cerebellar Ataxia,Diabetes Mellitus,7,11.96149936
Chorea,Diabetes Mellitus,4,7.971933485
Dystonia,Diabetes Mellitus,2,3.072218067
Torticollis,Diabetes Mellitus,1,2.154990923
Myoclonus,Diabetes Mellitus,1,1.775070869
Tremor,Diabetes Mellitus,1,1.739352787
"Gait Disorders, Neurologic",Diabetes Mellitus,2,3.48953104
Catatonia,Diabetes Mellitus,1,2.701906514
Language Disorders,Diabetes Mellitus,1,1.077736663
Dysarthria,Diabetes Mellitus,1,2.026585118
Confusion,Diabetes Mellitus,2,3.017896423
Consciousness Disorders,Diabetes Mellitus,1,0.877129276
Unconsciousness,Diabetes Mellitus,2,1.855945658
Coma,Diabetes Mellitus,15,19.68127219
Syncope,Diabetes Mellitus,3,4.472674283
Memory Disorders,Diabetes Mellitus,5,7.339988038
Amnesia,Diabetes Mellitus,1,2.171486142
Mental Retardation,Diabetes Mellitus,9,8.149020157
Psychomotor Disorders,Diabetes Mellitus,1,1.331640992
Muscle Rigidity,Diabetes Mellitus,2,4.803865607
Muscle Hypotonia,Diabetes Mellitus,1,1.656511135
Muscle Weakness,Diabetes Mellitus,4,3.971964327
Muscular Atrophy,Diabetes Mellitus,20,29.21643539
Spasm,Diabetes Mellitus,1,1.367277472
Tetany,Diabetes Mellitus,1,2.381206673
Pain,Diabetes Mellitus,57,18.77504239
Back Pain,Diabetes Mellitus,1,1.146928519
Low Back Pain,Diabetes Mellitus,2,3.180842046
Headache,Diabetes Mellitus,6,5.307385528
Neuralgia,Diabetes Mellitus,2,3.076628212
Sciatica,Diabetes Mellitus,1,2.169409298
"Pain, Intractable",Diabetes Mellitus,1,1.992983371
Paralysis,Diabetes Mellitus,3,1.453414132
Facial Paralysis,Diabetes Mellitus,3,4.071290735
Gastroparesis,Diabetes Mellitus,28,92.32992734
Hemiplegia,Diabetes Mellitus,3,3.883897089
Ophthalmoplegia,Diabetes Mellitus,9,11.96862542
"Ophthalmoplegia, Chronic Progressive External",Diabetes Mellitus,5,18.23436523
Quadriplegia,Diabetes Mellitus,1,1.369139669
Paresis,Diabetes Mellitus,3,3.863207351
Psychophysiologic Disorders,Diabetes Mellitus,24,35.58013522
Pupil Disorders,Diabetes Mellitus,3,5.23836988
Miosis,Diabetes Mellitus,1,2.095449529
"Reflex, Abnormal",Diabetes Mellitus,8,11.25704754
Seizures,Diabetes Mellitus,10,8.451669255
Sensation Disorders,Diabetes Mellitus,4,1.373287617
Dizziness,Diabetes Mellitus,11,14.76718565
Hearing Disorders,Diabetes Mellitus,11,8.085182325
Hearing Loss,Diabetes Mellitus,8,6.428404357
Deafness,Diabetes Mellitus,98,120.395662
"Hearing Loss, Bilateral",Diabetes Mellitus,3,6.635365563
"Hearing Loss, High-Frequency",Diabetes Mellitus,2,6.211212794
"Hearing Loss, Sensorineural",Diabetes Mellitus,30,36.44567581
Olfaction Disorders,Diabetes Mellitus,2,4.576460433
Hyperalgesia,Diabetes Mellitus,2,4.788220156
Hyperesthesia,Diabetes Mellitus,1,2.694864232
Hypesthesia,Diabetes Mellitus,2,3.443922088
Paresthesia,Diabetes Mellitus,6,8.148108877
Taste Disorders,Diabetes Mellitus,10,23.76091572
Ageusia,Diabetes Mellitus,1,3.585179477
Vision Disorders,Diabetes Mellitus,21,13.93327807
Amblyopia,Diabetes Mellitus,1,2.56352823
Blindness,Diabetes Mellitus,29,31.8460123
Color Vision Defects,Diabetes Mellitus,4,10.26643959
Diplopia,Diabetes Mellitus,1,1.644165299
Hemianopsia,Diabetes Mellitus,1,2.082052199
"Vision, Low",Diabetes Mellitus,3,6.76813059
Sleep Disorders,Diabetes Mellitus,8,11.94399128
Sleep Deprivation,Diabetes Mellitus,5,12.87956144
"Urinary Bladder, Neurogenic",Diabetes Mellitus,6,12.46954277
Vertigo,Diabetes Mellitus,10,15.96251943
Oral Manifestations,Diabetes Mellitus,17,31.71819681
Oral Hemorrhage,Diabetes Mellitus,2,5.151824578
Abdominal Pain,Diabetes Mellitus,9,7.636353103
"Abdomen, Acute",Diabetes Mellitus,6,8.625600783
Arthralgia,Diabetes Mellitus,1,1.4773
Shoulder Pain,Diabetes Mellitus,2,4.840854772
Chest Pain,Diabetes Mellitus,5,5.497804152
Angina Pectoris,Diabetes Mellitus,36,52.29660142
Acute Coronary Syndrome,Diabetes Mellitus,21,54.55716895
"Angina, Unstable",Diabetes Mellitus,15,33.6384027
Toothache,Diabetes Mellitus,1,2.730582314
"Pain, Postoperative",Diabetes Mellitus,2,3.355710645
Anorexia,Diabetes Mellitus,1,1.825260614
Constipation,Diabetes Mellitus,10,15.93915494
Diarrhea,Diabetes Mellitus,36,33.23477272
Dyspepsia,Diabetes Mellitus,11,22.90257419
Flatulence,Diabetes Mellitus,2,6.275734519
Halitosis,Diabetes Mellitus,1,3.241407938
Hyperphagia,Diabetes Mellitus,9,21.59386581
Bulimia,Diabetes Mellitus,3,8.29157131
Nausea,Diabetes Mellitus,11,12.52628382
Vomiting,Diabetes Mellitus,11,9.27863932
Hematemesis,Diabetes Mellitus,2,4.171723456
Anoxia,Diabetes Mellitus,30,30.05965715
Apnea,Diabetes Mellitus,3,5.629661725
Cough,Diabetes Mellitus,3,3.944187453
Dyspnea,Diabetes Mellitus,3,3.015665045
Hypercapnia,Diabetes Mellitus,3,6.332951466
Hyperoxia,Diabetes Mellitus,1,2.949190711
Hyperventilation,Diabetes Mellitus,1,2.105130147
Snoring,Diabetes Mellitus,3,8.280314261
Skin Manifestations,Diabetes Mellitus,21,12.85950158
Jaundice,Diabetes Mellitus,4,5.818847084
Necrolytic Migratory Erythema,Diabetes Mellitus,1,6.150128835
Pruritus,Diabetes Mellitus,4,5.863768434
Purpura,Diabetes Mellitus,2,2.126437212
"Purpura, Thrombocytopenic",Diabetes Mellitus,4,5.659622082
"Purpura, Thrombocytopenic, Idiopathic",Diabetes Mellitus,3,5.801683365
Oliguria,Diabetes Mellitus,2,5.22802427
Polyuria,Diabetes Mellitus,22,51.93983095
Proteinuria,Diabetes Mellitus,170,212.3262215
Albuminuria,Diabetes Mellitus,327,675.2833395
Hemoglobinuria,Diabetes Mellitus,3,8.650564821
"Urinary Bladder, Overactive",Diabetes Mellitus,1,3.543332367
Urinary Incontinence,Diabetes Mellitus,5,8.087646708
"Urinary Incontinence, Urge",Diabetes Mellitus,1,4.127845707
Virilism,Diabetes Mellitus,1,2.227055993
Hirsutism,Diabetes Mellitus,9,22.35350013
Asthenia,Arthritis,3,6.189657753
Fever,Arthritis,72,44.56350952
Fever of Unknown Origin,Arthritis,10,14.73154917
Hypothermia,Arthritis,1,1.945436215
Body Weight,Arthritis,115,39.44360242
Weight Gain,Arthritis,3,4.460069222
Weight Loss,Arthritis,16,16.00085938
Cachexia,Arthritis,5,9.973620079
Overweight,Arthritis,1,0.8238721
Obesity,Arthritis,56,46.62300449
"Obesity, Morbid",Arthritis,6,10.51763971
Chills,Arthritis,1,3.585179477
Edema,Arthritis,185,110.2374474
Hydrops Fetalis,Arthritis,1,2.341000253
Eye Manifestations,Arthritis,11,16.58664671
Fatigue,Arthritis,7,7.966092089
Flushing,Arthritis,2,5.22802427
Hypergammaglobulinemia,Arthritis,6,10.07475098
Intermittent Claudication,Arthritis,1,2.218303202
Mobility Limitation,Arthritis,4,11.05542841
Neurologic Manifestations,Arthritis,3,0.20982424
Decerebrate State,Arthritis,7,20.61273221
Athetosis,Arthritis,1,2.582162309
Chorea,Arthritis,8,15.94386697
Torticollis,Arthritis,2,4.309981845
Myoclonus,Arthritis,1,1.775070869
Psychomotor Agitation,Arthritis,1,2.24256018
Tremor,Arthritis,1,1.739352787
Meningism,Arthritis,1,3.074353854
Confusion,Arthritis,1,1.508948211
Syncope,Arthritis,1,1.490891428
Mental Retardation,Arthritis,5,4.52723342
Psychomotor Disorders,Arthritis,2,2.663281983
Muscle Cramp,Arthritis,4,8.970240719
Muscle Rigidity,Arthritis,1,2.401932804
Muscle Weakness,Arthritis,6,5.95794649
Muscular Atrophy,Arthritis,7,10.22575239
Myotonia,Arthritis,1,3.054048587
Spasm,Arthritis,4,5.469109886
Tetany,Arthritis,1,2.381206673
Pain,Arthritis,479,157.7762334
Back Pain,Arthritis,51,58.49335448
Low Back Pain,Arthritis,24,38.17010455
Facial Pain,Arthritis,11,21.69561452
Headache,Arthritis,8,7.076514038
Neck Pain,Arthritis,3,5.87637602
Neuralgia,Arthritis,12,18.45976927
Sciatica,Arthritis,12,26.03291158
"Pain, Intractable",Arthritis,3,5.978950114
Paralysis,Arthritis,8,3.87577102
Facial Paralysis,Arthritis,1,1.357096912
Hemiplegia,Arthritis,9,11.65169127
Paraplegia,Arthritis,2,2.554958567
Vocal Cord Paralysis,Arthritis,2,3.975559087
Paresis,Arthritis,1,1.287735784
Psychophysiologic Disorders,Arthritis,9,13.34255071
Seizures,Arthritis,3,2.535500777
Sensation Disorders,Arthritis,1,0.343321904
Dizziness,Arthritis,4,5.36988569
Hearing Disorders,Arthritis,2,1.47003315
Hearing Loss,Arthritis,1,0.803550545
Deafness,Arthritis,8,9.828217304
"Hearing Loss, Bilateral",Arthritis,1,2.211788521
"Hearing Loss, Conductive",Arthritis,1,2.267420217
"Hearing Loss, Sensorineural",Arthritis,3,3.644567581
Tinnitus,Arthritis,1,1.974033623
Hyperalgesia,Arthritis,36,86.1879628
Hypesthesia,Arthritis,1,1.721961044
Paresthesia,Arthritis,7,9.506127023
Vision Disorders,Arthritis,2,1.326978864
Blindness,Arthritis,4,4.39255342
Color Vision Defects,Arthritis,1,2.566609896
Photophobia,Arthritis,1,2.854291969
Scotoma,Arthritis,1,2.381206673
"Vision, Low",Arthritis,1,2.25604353
Sleep Disorders,Arthritis,7,10.45099237
Vertigo,Arthritis,2,3.192503886
Voice Disorders,Arthritis,1,1.665244815
Aphonia,Arthritis,1,3.628854541
Oral Manifestations,Arthritis,3,5.597328849
Abdominal Pain,Arthritis,5,4.242418391
"Abdomen, Acute",Arthritis,1,1.43760013
Colic,Arthritis,2,4.269494633
Arthralgia,Arthritis,81,119.6613
Shoulder Pain,Arthritis,3,7.261282158
Chest Pain,Arthritis,7,7.696925812
Angina Pectoris,Arthritis,4,5.810733491
"Pain, Postoperative",Arthritis,3,5.033565967
Pelvic Pain,Arthritis,1,2.041078125
Dysmenorrhea,Arthritis,1,2.760104754
Anorexia,Arthritis,1,1.825260614
Constipation,Arthritis,1,1.593915494
Diarrhea,Arthritis,24,22.15651515
Dyspepsia,Arthritis,4,8.328208798
Hematemesis,Arthritis,1,2.085861728
Anoxia,Arthritis,7,7.013920002
Cough,Arthritis,1,1.314729151
Dyspnea,Arthritis,5,5.026108408
Hemoptysis,Arthritis,2,3.394148727
Hyperventilation,Arthritis,1,2.105130147
Skin Manifestations,Arthritis,21,12.85950158
Ecchymosis,Arthritis,1,2.299981233
Jaundice,Arthritis,2,2.909423542
Pruritus,Arthritis,6,8.795652651
Purpura,Arthritis,14,14.88506048
"Purpura, Hyperglobulinemic",Arthritis,2,7.349049155
"Purpura, Schoenlein-Henoch",Arthritis,16,31.97143073
"Purpura, Thrombocytopenic",Arthritis,2,2.829811041
Oliguria,Arthritis,1,2.614012135
Proteinuria,Arthritis,15,18.7346666
Albuminuria,Arthritis,1,2.065086665
Urinary Incontinence,Arthritis,3,4.852588025
Hirsutism,Arthritis,1,2.483722237
"Aging, Premature","Pancreatitis, Chronic",1,3.46455149
Asthenia,"Fatigue Syndrome, Chronic",8,16.50575401
Asthenia,"Pulmonary Disease, Chronic Obstructive",1,2.063219251
Asthenia,"Brain Damage, Chronic",1,2.063219251
Asthenia,"Kidney Failure, Chronic",1,2.063219251
Fever,Erythema Chronicum Migrans,2,1.237875265
Fever,"Fatigue Syndrome, Chronic",11,6.808313955
Fever,"Leukemia, Lymphocytic, Chronic, B-Cell",27,16.71131607
Fever,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",14,8.665126852
